ID,Short name,Full title,Overview,Topic,Category,Tags,Journal/conference,Publication date,Date basis,Publication status,Research problem,Datasets,Method,Findings,Experimental setup,Analysis,Paper URL,Code URL,Code status,Review date,Review scope
admet-evo-2026,ADMET-EvO,ADMET-EvO: a self-evolving scientific agent for sustained research across heterogeneous tasks,"Uses a research agent to explore features and models for ADMET tasks, evaluating prediction and research efficiency through a fixed testing workflow.",ADMET and pharmacokinetics,Preprints,Research agents; Automated modeling,arXiv,2026-09-09,Initial arXiv submission date; revisions listed in the citation,preprint,"Different endpoints need different features, models and optimization strategies, making repeated manual exploration costly. Automated research also needs test-independent model selection.",22 TDC ADMET tasks plus 43 toxicity tasks.,"An evidence-gated research agent explores hypotheses, features and models. The paper describes freezing the workflow before held-out testing and validation over multiple seeds.",Reports a task-normalized aggregate score of 96.77 and reduced cumulative model-fitting time under the stated comparisons and resource constraints.,"Uses preprint v2, covering 22 TDC tasks and 43 toxicity tasks with the authors' task-normalized aggregate metric.",96.77 is the paper's aggregate score. Model-fitting time is compared under the specified resource constraints; repository access status is recorded below.,https://arxiv.org/abs/2609.10121,,The repository link in the paper could not be accessed during review.,2026-09-19,"Bibliographic metadata, key sections of the paper and related official resources."
trimole-hybrid-2026,Trimole-Hybrid,A multimodal representation learning platform for accurate molecular ADMET prediction,"Fuses sequences, molecular graphs, 3D structures and chemical priors, selecting prediction models or ensembles for each ADMET task.",ADMET and pharmacokinetics,Preprints,Multimodal learning; Model ensembles,bioRxiv,2026-08-25,Crossref preprint publication date; DOI date recorded separately,preprint,A single representation may not suit all endpoints; complementary modalities must be combined with a controlled model-selection process.,22 TDC ADMET tasks.,"Combines SMILES, molecular graphs, 3D geometry and chemical priors with task-specific prediction heads, model selection and ensembles.",Reports scores above the top entry on 10/22 tasks and within the top ten on 21/22 tasks in the selected public leaderboard snapshot.,Evaluates multimodal combinations on 22 TDC tasks against the public leaderboard snapshot selected in the paper.,"The repository provides implementation and review materials. Complete trained weights, official datasets and cached representations require separate preparation.",https://www.biorxiv.org/content/10.64898/2026.08.24.746660v1,https://github.com/dchen0212/trimole_hybrid,"Implementation and review materials are public; complete trained weights, official datasets and cached representations are not included.",2026-09-19,"Bibliographic metadata, abstract and accessible project documentation."
amesnet-2026,AmesNet,AmesNet: A Task-Conditioned Deep Learning Model with Enhanced Sensitivity and Generalization in Ames Mutagenicity Prediction,"Combines molecular structure, bacterial strain and metabolic-activation conditions to improve Ames mutagenicity detection in unfamiliar chemical space.",ADMET and pharmacokinetics,Core papers,AMES; Assay conditions; Out-of-distribution prediction,Chemical Research in Toxicology,2026-06-29,Publisher online publication date,journal,"Models miss mutagenic compounds outside the training domain, while increasing sensitivity alone can produce many false positives.","Strain/S9-conditioned data compiled by Lui et al. After the published version's cleaning, training/validation contains 40,129 records and testing 4,208. Each record is a compound–strain–S9 combination. Foil data lacking strain/S9 information are evaluated separately.","A molecular encoder and strain/±S9 condition channel form two branches. Compares single-task, ordinary/grouped multitask models and condition-augmented encoders including ChemProp and GROVER.",The published main OOD evaluation reports sensitivity 0.72 (95% CI 0.68–0.76) and balanced accuracy 0.81 (0.78–0.83). The supplementary Foil evaluation gives balanced accuracy 0.72.,"**Design.** The published Lui dataset has 40,129 training/validation and 4,208 test records after curation; a record is a compound–strain–S9 combination. Source OOD partitions are retained, removing identical non-stereochemical SMILES across partitions. Comparators include STL, ungrouped/grouped multi-task models and conditioned ChemProp, GROVER and RF variants.

| Test | AmesNet | Comparator | Source |
| --- | --- | --- | --- |
| Lui OOD sensitivity | 0.72 (95% CI 0.68–0.76) | Reimplemented DeepAmes 0.69 (0.64–0.73) | Published main results |
| Lui OOD balanced accuracy | 0.81 (0.78–0.83) | Reimplemented DeepAmes 0.76 (0.73–0.78) | Published main results |
| Foil balanced accuracy | 0.72 (0.71–0.73) | STL-GROVER 0.70 (0.69–0.71) | Supplementary Fig. S1 |
| Foil sensitivity | 0.64 (0.62–0.66) | STL-DeepAmes 0.97 (0.96–0.98) | Supplementary Fig. S1 |

Foil intervals use 1,000 stratified bootstrap samples. STL-DeepAmes has high sensitivity but balanced accuracy 0.51 on that set, illustrating the need to also evaluate false positives.","The published main test set has 4,208 records versus 4,528 in preprint v2. Results here use the published version. Foil lacks strain/S9 metadata and is treated as a separate setting.",https://doi.org/10.1021/acs.chemrestox.6c00082,https://github.com/Model-Medicines/TCL-Ames,"The author repository provides comparator training code, some checkpoints, AmesNet predictions and bootstrap analysis; it does not list a training-code or weights entry for the main AmesNet model",2026-09-22,"Checked the published abstract, searchable main-result passages, published Supplementary Fig. S1 and the author repository tree; training details also draw on earlier version records"
dcpm-admet-2026,DCPM-ADMET,DCPM-ADMET: fusion of dual-component pre-trained model and molecular fingerprints to enhance drug ADMET properties prediction,Combines representations from two pretrained models with chemical fingerprints to predict 97 ADMET properties.,ADMET and pharmacokinetics,Core papers,ADMET; Pretraining; Representation fusion,Journal of Cheminformatics,2026-06-20,Publisher online publication date,journal,"A single representation struggles to capture semantic, structural and physicochemical information together, while ADMET labels are sparse and endpoints heterogeneous.","Pretraining uses approximately 111 million PubChem records. The ADMET collection contains 97 endpoints: 43 regression and 54 classification tasks, with 465,470 endpoint records. Also evaluates 10 MoleculeNet datasets.","Fuses XLNet semantic representations, a GRU component incorporating SMILES-to-InChI and property learning, and ECFP fingerprints; combines single-task random forests, multitask neural networks and parameter optimization.","Improves over ECFP on 67/97 endpoints (39 classification, 28 regression). Mean classification AUC increases from 0.812 to 0.831; mean regression Pearson r increases from 0.661 to 0.701.","**Design.** An 8:1:1 Bemis–Murcko scaffold train/validation/test split and five independent runs. Frozen XLNet and RNN encoders each supply 512 features, concatenated with 512-bit ECFP. Single-task prediction uses random forests; multi-task prediction uses a DNN. TPE searches 50 configurations; frozen and full fine-tuning strategies are compared.

| Comparison on the 97-endpoint collection | ECFP | DCPM-ADMET |
| --- | --- | --- |
| Mean AUC across 54 classification tasks ↑ | 0.812 | 0.831 |
| Mean Pearson r across 43 regression tasks ↑ | 0.661 | 0.701 |
| Tasks improved over ECFP | — | 39/54 classification; 28/43 regression |

Locations: Fine-tuning and ADMET prediction models; endpoint results are indexed in Supplementary Tables S6–S7. The separate 10-dataset MoleculeNet comparison is a distinct evaluation.",These improvements compare fused features with this study’s ECFP baseline. The platform’s 133 outputs comprise 97 learned endpoints and 36 computed properties; endpoint records are not a count of unique compounds.,https://link.springer.com/article/10.1186/s13321-026-01244-z,https://github.com/zhangzhangleilei/DCPM-ADMET,The authors provide a public code/project page.,2026-09-22,"Checked training protocol, aggregate 97-endpoint results and supplementary table references"
openadmet-avoidome-2026,OpenADMET / Avoid-ome,Mapping the avoid-ome: a systematic open-science approach to predictive ADMET,"Proposes combining open experimental data, protein structures, active learning and blind challenges to improve mechanistic ADMET prediction.",ADMET and pharmacokinetics,Perspectives,Mechanisms; Open data; Perspective,Nature Communications,2026-05-25,Publisher online publication date,journal,Public ADMET data are scarce and assays inconsistent; limited structural mechanistic information constrains model-guided optimization.,"Discusses open, mechanism-oriented data generation and experimental plans involving CYPs, transporters, PXR and hERG.","Connects high-throughput chemistry, functional assays, structural biology, active learning and blind challenges to study ADMET-related anti-targets.",Outlines a research program using open experimental data and mechanistic modeling to support multiparameter drug design.,"This Perspective develops a research agenda around open data, mechanistic modeling and blind challenges.","Provides context for OpenADMET's motivation and plans for CYP, transporter and safety-related mechanistic datasets.",https://www.nature.com/articles/s41467-026-73410-8,https://github.com/OpenADMET,"Links to the OpenADMET organization and its data, tools and challenge projects.",2026-09-19,"Bibliographic metadata, key sections of the paper and related official resources."
admet-reliability-2026,ADMET reliability benchmark,Revisiting ADMET prediction reliability under real-world challenges in the foundation model era,"Compares model families under limited data, unfamiliar molecular structures and class imbalance to assess ADMET prediction in practical research settings.",ADMET and pharmacokinetics,Core papers,Generalization; Small data; Evaluation,Journal of Cheminformatics,2026-05-18,Publisher online publication date,journal,"Average benchmark scores miss reliability issues involving small datasets, out-of-distribution prediction, class imbalance, beyond-rule-of-five molecules and activity cliffs.","Fourteen curated property datasets plus 30 MoleculeACE bioactivity tasks. Examples after curation: BBBP 3,873; hERG 9,673; Caco-2 842; half-life 1,314; VDss 1,092; CycPept-PAMPA 6,637 samples (Table 1). Counts refer to this study’s processed versions.","Compares KPGT, Uni-Mol, TabPFNv2, classical machine learning and AutoML in a common framework, using random, scaffold and Perimeter splits, resampling and ensembles.","TabPFNv2 often performs well in the evaluated small-data/OOD settings. Undersampling ensembles help with imbalance, while KPGT performs strongly on cyclic-peptide permeability with more training data. Activity cliffs remain difficult across models.","**Design.** Random, scaffold and Perimeter splits; five split seeds and five training runs per split yield 25 results per splitting strategy. AutoGluon yields five results per strategy. Comparators include KPGT, Uni-Mol, GEM, graph networks, classical ML, TabPFNv2 and AutoGluon. Classification analysis combines AUROC, recall, F1 and false-positive rate; regression includes R².

| Setting | Result | Location |
| --- | --- | --- |
| Imbalanced Tox21 NR ER | Undersampling ensembles raise KPGT recall from 0.22 to 0.60; false-positive rate 0.27 | Fig. 4 |
| Cyclic-peptide permeability, 6,637 samples | R²: KPGT 0.627; GNNAK 0.605 | Fig. 5 |
| Activity-cliff molecules | R²: KPGT 0.46; XGBoost + MorganCount 0.51 | Fig. 6b |
| Activity-cliff pair detection | Recall: MOLMCL 0.130; KPGT 0.128 | Fig. 6c |","Model selection depends on sample size, distribution shift and task. The activity-cliff experiments use bioactivity datasets to probe representation quality; these scores are separate from the ADMET endpoint evaluations.",https://link.springer.com/article/10.1186/s13321-026-01217-2,https://github.com/DonghaiZHAO-ZJU/Benchmark-ADMET-2025,The authors provide a public code/project page.,2026-09-22,"Checked Methods, Table 1 and the experimental designs and results in Figs. 4–6"
tdc-audit-2026,TDC model audit,Critical Assessment of ML models for ADMET Prediction in TDC leaderboards,"Checks whether leading TDC models run, contain data leakage and reproduce their reported ADMET results.",ADMET and pharmacokinetics,Preprints,Reproducibility; Data leakage; Model audit,bioRxiv,2026-02-28,Crossref preprint publication date; DOI date recorded separately,preprint,"Leaderboard results may depend on pretraining leakage, validation/test overlap or environment problems that affect reproducibility.","10 leading methods selected from the 22-task TDC ADMET benchmark, using the audit's leaderboard snapshot and code versions.","Sequentially checks environment availability, pretraining leakage, validation/test overlap and result reproduction.","The authors report that only MapLight, MapLight+GNN and CaliciBoost pass all checks. CaliciBoost addresses Caco-2 specifically, rather than all 22 tasks.","Audits 10 leading methods for execution, leakage, validation/test overlap and reproduction, recording the relevant leaderboard snapshot and code versions.",The audit separates environment failures from experimental-design issues and can inform reproduction workflows. These notes summarize the preprint's findings.,https://www.biorxiv.org/content/10.64898/2026.02.26.708193v1,https://github.com/receptor-ai/tdc-admet-bench,The authors provide a public code/project page.,2026-09-19,"Bibliographic metadata, abstract and accessible project documentation."
himnet-2026,HimNet,A hierarchical interaction message net for accurate molecular property prediction,"Exchanges information across atoms, substructures and whole molecules in a hierarchical graph network for property and selected ADMET predictions.",ADMET and pharmacokinetics,Further reading,Hierarchical GNN; Metabolic stability,Communications Chemistry,2026-02-14,Publisher online publication date,journal,"Limited interaction across atom, substructure and molecular levels can leave property-relevant information out of single-level representations.","11 datasets: 8 MoleculeNet subsets plus Malaria, LMC and MetStab. BBBP, Tox21, SIDER, ClinTox and metabolic-stability tasks directly concern ADMET; others assess broader properties or bioactivity.","Hierarchical message passing and attention combine directed message paths, cross-level interactions and consistency information from multiple fingerprints.","Reported BBBP AUROC is 0.954±0.020, ESOL RMSE 0.710±0.016, and metabolic-stability AUROC 0.896±0.008. Ablations probe the task-dependent contributions of hierarchical message passing and fusion modules.","**Design.** Eleven datasets use 8:1:1 scaffold splits. The text describes three independent splits and ten initializations per split; the ablation discussion separately describes three-run summaries. Adam runs for 100 epochs, with batch size 64, learning rate 0.0001 and hidden size 512 (Table 5). Metrics are AUROC and RMSE.

| Task | HimNet | Comparator | Location |
| --- | --- | --- | --- |
| BBBP, AUROC ↑ | 0.954±0.020 | FH-GNN 0.949±0.016 | Table 1 |
| ESOL, RMSE ↓ | 0.710±0.016 | FH-GNN 0.904±0.070 | Table 1 |
| MetStab, AUROC ↑ | 0.896±0.008 | FH-GNN 0.876±0.014 | Table 2 |
| Multi-species LMC, mean RMSE ↓ | 111.0±9.8 | HiMol 117.085±10.1 | Table 2 |

Table 1 reruns FH-GNN; other baseline scores are taken from their original publications, so their original evaluation settings also affect the comparison.","Descriptions of run aggregation differ between sections; reproduction should follow the specific table and released implementation. LMC covers human, rat and mouse clearance, and its RMSE is on that dataset’s scale.",https://www.nature.com/articles/s42004-026-01922-x,https://github.com/Hugh415/HimNet,"Author code and data are public under MIT, with an additional Zenodo archive",2026-09-22,"Checked experiment descriptions, Tables 1–2 and 5–6, and code/data availability statements"
caliciboost-2025,CaliciBoost,CaliciBoost: Performance-driven evaluation of molecular representations for caco-2 permeability prediction,"Combines molecular fingerprints, physicochemical descriptors and automated machine learning to predict permeability through the Caco-2 intestinal cell model.",ADMET and pharmacokinetics,Core papers,Absorption; Caco-2; AutoML,Journal of Cheminformatics,2025-12-22,Publisher online publication date,journal,"Caco-2 permeability data are limited and assay conditions vary, making it difficult to identify effective molecular features and modeling strategies.","TDC Caco2_Wang contains 906 molecules. A separate OCHEM collection was reduced from 9,402 raw records to 5,481 modeling records through filtering and cleaning. The two datasets are modeled and evaluated separately.","Compares eight molecular representations through AutoGluon, feature selection and hyperparameter optimization. The submitted CaliciBoost predictor is an XGBoost regressor using selected PaDEL descriptors.","Five-seed TDC MAE is 0.2560±0.006. In the paper’s individual feature comparison, selected PaDEL features plus optimization achieve MAE 0.2525 versus 0.3058 with all PaDEL features.","**Design.** TDC Caco2_Wang contains 906 molecules; the official scaffold split reserves 20% for testing, with five seeds for the final benchmark. The 5,481 curated OCHEM records are split separately using structural clusters and permeability bins, then modeled independently. Eight representations are compared; MAE is the primary metric.

| Experiment | MAE ↓ | Context |
| --- | --- | --- |
| All PaDEL features | 0.3058 | Feature comparison, Supplementary Table 1 |
| Selected PaDEL features and optimization | 0.2525 | Individual experiment; RMSE 0.3216, R² 0.7805, Fig. 6 |
| CaliciBoost official benchmark | 0.2560±0.006 | Mean±SD over five seeds, Figs. 10–11 |

**Interpretation.** The two final MAE values describe different summaries. TDC and OCHEM models are trained and tested separately; OCHEM is not a direct external transfer test of the TDC-trained predictor.","Feature selection and optimization contribute jointly. Some OCHEM records lack assay direction, making assay consistency an additional data-quality issue.",https://link.springer.com/article/10.1186/s13321-025-01137-7,https://github.com/Calici/CaliciBoost,The authors provide a public code/project page.,2026-09-22,"Checked data processing, splits, model selection and results associated with Figs. 6 and 10–11"
pksmart-2025,PKSmart,PKSmart: an open-source computational model to predict intravenous pharmacokinetics of small molecules,"Predicts animal pharmacokinetic parameters, then combines them with molecular features to estimate human intravenous clearance, distribution volume and half-life.",ADMET and pharmacokinetics,Core papers,Human PK; Cross-species prediction; External validation,Journal of Cheminformatics,2025-09-26,Publisher online publication date,journal,"Human PK data are scarce, limiting structure-only models. The study examines how preclinical species information can improve human parameter prediction.","Human IV PK: 1,283 compounds, with 1,249/1,281/1,265/879/1,243 labels for VDss/CL/half-life/fraction unbound/MRT. Animal data cover 371 compounds. A separate external set has 315 compounds, with 51/302/38/34 labels for the four evaluable endpoints.","First predicts rat, dog and monkey PK parameters from molecular features, then combines these predictions with molecular features in human random-forest models. Uses repeated nested cross-validation and external validation.","External R² is 0.39 for VDss and 0.46 for clearance, with 52.94% and 70.20% of predictions within twofold error. Half-life external R² is 0.06, demonstrating substantial endpoint differences.","**Design.** Five outer folds repeated five times yield 25 test folds; fourfold inner grid search tunes hyperparameters. Standardized SMILES exclude training overlap from the external set. Ablations compare molecular features, predicted animal PK, and their combination. All PK labels except fraction unbound are log10-transformed.

| External endpoint | N | R² ↑ | RMSE ↓ | Within twofold error ↑ |
| --- | --- | --- | --- | --- |
| VDss | 51 | 0.39 | 0.56 | 52.94% |
| Clearance | 302 | 0.46 | 0.44 | 70.20% |
| Half-life | 38 | 0.06 | 0.68 | 31.58% |
| Fraction unbound | 34 | 0.26 | 0.22 | 26.47% |

Source: Table 2. RMSE uses log10 labels for the first three endpoints and the untransformed fraction for the fourth. Fold error uses the original scale. MRT has no external test set.","External sample sizes differ substantially across endpoints. Comparison with AstraZeneca mainly measures agreement between model predictions, a different question from prediction accuracy against measured external labels.",https://link.springer.com/article/10.1186/s13321-025-01066-5,https://github.com/srijitseal/PKSmart,The authors provide a public code/project page.,2026-09-22,"Checked curation, nested validation, external sample counts and Table 2"
