id,name,collection,size,endpoints,endpoint,metric,license,source,download,license_source,loader,checked_on
Caco2_Wang,Caco2_Wang,TDC ADMET Group,906,1,Caco-2,MAE,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Caco2_Wang'),2026-09-22
HIA_Hou,HIA_Hou,TDC ADMET Group,578,1,HIA,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('HIA_Hou'),2026-09-22
Pgp_Broccatelli,Pgp_Broccatelli,TDC ADMET Group,1212,1,P-gp inhibition,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Pgp_Broccatelli'),2026-09-22
Bioavailability_Ma,Bioavailability_Ma,TDC ADMET Group,640,1,Bioavailability,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Bioavailability_Ma'),2026-09-22
Lipophilicity_AstraZeneca,Lipophilicity_AstraZeneca,TDC ADMET Group,4200,1,logD,MAE,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Lipophilicity_AstraZeneca'),2026-09-22
Solubility_AqSolDB,Solubility_AqSolDB,TDC ADMET Group,9982,1,Solubility,MAE,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Solubility_AqSolDB'),2026-09-22
BBB_Martins,BBB_Martins,TDC ADMET Group,1975,1,BBB,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('BBB_Martins'),2026-09-22
PPBR_AZ,PPBR_AZ,TDC ADMET Group,1797,1,PPBR,MAE,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('PPBR_AZ'),2026-09-22
VDss_Lombardo,VDss_Lombardo,TDC ADMET Group,1130,1,VDss,Spearman,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('VDss_Lombardo'),2026-09-22
CYP2C9_Veith,CYP2C9_Veith,TDC ADMET Group,12092,1,CYP2C9 inhibition,AUPRC,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('CYP2C9_Veith'),2026-09-22
CYP2D6_Veith,CYP2D6_Veith,TDC ADMET Group,13130,1,CYP2D6 inhibition,AUPRC,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('CYP2D6_Veith'),2026-09-22
CYP3A4_Veith,CYP3A4_Veith,TDC ADMET Group,12328,1,CYP3A4 inhibition,AUPRC,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('CYP3A4_Veith'),2026-09-22
CYP2C9_Substrate_CarbonMangels,CYP2C9_Substrate_CarbonMangels,TDC ADMET Group,666,1,CYP2C9 substrate,AUPRC,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('CYP2C9_Substrate_CarbonMangels'),2026-09-22
CYP2D6_Substrate_CarbonMangels,CYP2D6_Substrate_CarbonMangels,TDC ADMET Group,664,1,CYP2D6 substrate,AUPRC,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('CYP2D6_Substrate_CarbonMangels'),2026-09-22
