ID,论文简称,完整题名,内容概述,专题,分类,主题,期刊或会议,发表时间,日期口径,发表状态,主要痛点,数据集,方法,结论,评测设置,限制,原文URL,代码URL,代码状态,核验日期,核对范围
admet-evo-2026,ADMET-EvO,ADMET-EvO: a self-evolving scientific agent for sustained research across heterogeneous tasks,让研究智能体针对不同 ADMET 任务探索特征和模型，并通过固定测试流程评价预测效果与研究效率。,ADMET 与药代动力学,预印本,研究智能体; 自动建模,arXiv,2026-09-09,arXiv 首次提交日期；修订日期见发表信息,preprint,不同端点需要不同特征、模型和优化过程，人工反复探索成本高；自动研究还需避免使用测试集指导选择。,TDC ADMET 22 任务，另包含 43 个毒性任务。,使用有证据门槛的研究智能体进行假设、特征与模型探索；论文描述冻结方案后进行留出测试评价及多随机种子验证。,作者报告任务归一化综合得分 96.77，并在其指定比较和约束下减少累计模型拟合时间。,引用预印本 v2；评价 TDC 22 任务及 43 个毒性任务，使用作者定义的任务归一化综合分。,96.77 为该论文的综合得分。累计模型拟合时间的比较按论文所设资源约束计算；代码链接的访问情况见下文。,https://arxiv.org/abs/2609.10121,,论文提供的仓库链接在资料核对时访问失败,2026-09-19,书目、正文关键部分及相关官方资源
trimole-hybrid-2026,Trimole-Hybrid,A multimodal representation learning platform for accurate molecular ADMET prediction,融合分子序列、分子图、三维结构和化学先验，并按 ADMET 任务选择预测模型或集成方案。,ADMET 与药代动力学,预印本,多模态; 模型集成,bioRxiv,2026-08-25,Crossref 预印本发布日期；与 DOI 中日期区分,preprint,单一分子表示不一定适合所有端点，如何结合互补模态并控制模型选择过程？,TDC ADMET 22 任务。,结合 SMILES、分子图、三维几何与化学先验，使用任务相关预测头和模型选择/集成。,作者报告在所选公开榜单快照上 10/22 项超过首位成绩、21/22 项进入前十。,在 TDC 22 任务上评价多模态组合，并与论文选定的公开榜单快照比较。,公开仓库提供实现与审查材料；完整训练权重、官方数据和缓存表示需要另行准备。,https://www.biorxiv.org/content/10.64898/2026.08.24.746660v1,https://github.com/dchen0212/trimole_hybrid,实现与审查材料公开；不含完整训练权重、官方数据及缓存表示,2026-09-19,书目、摘要及可访问项目说明
amesnet-2026,AmesNet,AmesNet: A Task-Conditioned Deep Learning Model with Enhanced Sensitivity and Generalization in Ames Mutagenicity Prediction,将分子结构、菌株与代谢活化条件一起输入模型，提高陌生化学结构的 Ames 致突变性识别能力。,ADMET 与药代动力学,核心论文,AMES; 实验条件; 分布外预测,Chemical Research in Toxicology,2026-06-29,出版社在线发表日期,journal,模型在训练域外容易漏检致突变化合物，单纯提高灵敏度又可能造成大量误报。,"Lui 等汇编的菌株/S9 条件数据，经正式版清洗后训练/验证共 40,129 条记录、测试 4,208 条记录；每条记录对应一个化合物–菌株–S9 组合。另评估缺少菌株/S9 信息的 Foil 数据。",分子编码器与菌株/±S9 条件通道构成双分支；比较单任务、普通/分组多任务，并对 ChemProp/GROVER 等编码器加入条件通道做对照。,正式版主 OOD 评测报告灵敏度 0.72（95% CI 0.68–0.76）、平衡准确率 0.81（0.78–0.83）；Foil 补充评测平衡准确率 0.72。,"**实验设计。** 正式版 Lui 数据经去重后有 40,129 条训练/验证记录和 4,208 条测试记录；记录单位为化合物–菌株–S9 组合。沿用来源研究的 OOD 分区并移除跨分区相同非立体 SMILES。对照包含 STL、普通/分组多任务模型及为 ChemProp、GROVER、RF 添加条件通道的版本。

| 测试 | AmesNet | 对照 | 来源 |
| --- | --- | --- | --- |
| Lui OOD 灵敏度 | 0.72（95% CI 0.68–0.76） | DeepAmes 重实现 0.69（0.64–0.73） | 正式版主结果 |
| Lui OOD 平衡准确率 | 0.81（0.78–0.83） | DeepAmes 重实现 0.76（0.73–0.78） | 正式版主结果 |
| Foil 平衡准确率 | 0.72（0.71–0.73） | STL-GROVER 0.70（0.69–0.71） | 补充 Fig. S1 |
| Foil 灵敏度 | 0.64（0.62–0.66） | STL-DeepAmes 0.97（0.96–0.98） | 补充 Fig. S1 |

Foil 实验使用 1,000 次分层 bootstrap 计算区间。STL-DeepAmes 在该集灵敏度高，但平衡准确率为 0.51，表明只看灵敏度会遗漏误报问题。","正式版主测试集为 4,208 条记录；预印本 v2 为 4,528 条。两版数据清洗和成绩有所变化，本文采用正式版。Foil 数据缺少菌株/S9 信息，作为独立场景单列。",https://doi.org/10.1021/acs.chemrestox.6c00082,https://github.com/Model-Medicines/TCL-Ames,作者库公开比较模型的训练代码、部分检查点、AmesNet 预测值及 bootstrap 分析；仓库未列出 AmesNet 主模型训练代码和权重入口,2026-09-22,已核对正式摘要、可检索主结果段、正式补充 Fig. S1 及作者代码树；正文训练细节结合已有版本记录
dcpm-admet-2026,DCPM-ADMET,DCPM-ADMET: fusion of dual-component pre-trained model and molecular fingerprints to enhance drug ADMET properties prediction,将两种预训练模型学到的分子表示与化学指纹结合，用于预测 97 项 ADMET 性质。,ADMET 与药代动力学,核心论文,综合ADMET; 预训练; 融合,Journal of Cheminformatics,2026-06-20,出版社在线发表日期,journal,单一分子表示难以同时覆盖语义、结构和理化信息；ADMET 标签稀疏且端点异质。,"基于约 1.11 亿条 PubChem 数据预训练；ADMET 建模集合包含 97 个端点，43 个回归、54 个分类，共 465,470 条记录；另评估 10 个 MoleculeNet 数据集。数量按端点记录统计。",融合 XLNet 语义表示、包含 SMILES→InChI 与性质学习的 GRU 组件，以及 ECFP 指纹；结合单任务随机森林、多任务神经网络和参数优化。,相对 ECFP 对照，97 个端点中的 67 个改善（39 个分类、28 个回归）；平均分类 AUC 由 0.812 提高到 0.831，平均回归 Pearson r 由 0.661 提高到 0.701。,"**实验设计。** Bemis–Murcko 骨架划分，训练/验证/测试为 8:1:1，独立运行 5 次。冻结预训练编码器，将 XLNet 的 512 维表示、RNN 的 512 维表示和 512 位 ECFP 拼接；单任务采用随机森林，多任务采用 DNN。TPE 执行 50 次超参数搜索，并比较冻结与全参数微调。

| 97 端点集合上的比较 | ECFP 对照 | DCPM-ADMET |
| --- | --- | --- |
| 54 个分类任务平均 AUC ↑ | 0.812 | 0.831 |
| 43 个回归任务平均 Pearson r ↑ | 0.661 | 0.701 |
| 优于 ECFP 的任务数 | — | 39/54 分类；28/43 回归 |

原文位置：Fine-tuning、ADMET prediction models；逐端点结果索引为 Supplementary Tables S6–S7。另有 10 个 MoleculeNet 数据集上的比较，不能与 97 端点汇总混为一组。",上述增益衡量融合表示相对本文 ECFP 基线的效果。平台 133 项输出由 97 个预测模型和 36 个计算属性组成；端点记录数不等于去重化合物数。,https://link.springer.com/article/10.1186/s13321-026-01244-z,https://github.com/zhangzhangleilei/DCPM-ADMET,作者代码/项目入口已公开,2026-09-22,已核对正文训练协议、97 端点汇总结果及补充表索引
openadmet-avoidome-2026,OpenADMET / Avoid-ome,Mapping the avoid-ome: a systematic open-science approach to predictive ADMET,提出结合开放实验数据、蛋白质结构、主动学习和盲测挑战，从机制上改进 ADMET 预测的研究路线。,ADMET 与药代动力学,观点文章,机制; 开放数据; 观点,Nature Communications,2026-05-25,出版社在线发表日期,journal,公开 ADMET 数据稀缺且测定不统一，结构层面的机制信息不足；传统模型难以给出可靠的结构优化依据。,讨论开放、机制导向的数据建设与实验计划，涉及 CYP、转运体、PXR、hERG 等。,将高通量化学、功能实验、结构生物学、主动学习和盲测挑战连接起来，研究影响 ADMET 的 anti-targets。,提出以开放实验数据和机制建模支持多参数药物设计的研究路线。,Perspective 围绕开放数据、机制建模和盲测挑战提出研究路线。,适合用于理解 OpenADMET 的研究动机，以及 CYP、转运体和安全性相关机制数据的建设方向。,https://www.nature.com/articles/s41467-026-73410-8,https://github.com/OpenADMET,链接指向 OpenADMET 组织及其数据、工具和挑战项目,2026-09-19,书目、正文关键部分及相关官方资源
admet-reliability-2026,ADMET可靠性评测,Revisiting ADMET prediction reliability under real-world challenges in the foundation model era,在小样本、陌生分子结构和类别不均衡等条件下比较多类模型，检验 ADMET 预测在实际研究中是否可靠。,ADMET 与药代动力学,核心论文,泛化; 小样本; 评测,Journal of Cheminformatics,2026-05-18,出版社在线发表日期,journal,常规平均成绩不足以反映小样本、分布外预测、类别不均衡、超出五规则的分子及活性悬崖中的可靠性。,"清洗后的 14 个性质数据集及 MoleculeACE 的 30 个活性任务。代表性规模：BBBP 3,873、hERG 9,673、Caco-2 842、半衰期 1,314、VDss 1,092、CycPept-PAMPA 6,637 个样本（Table 1）。这些是本文整理后的版本。",在统一实验框架中比较 KPGT、Uni-Mol、TabPFNv2、经典机器学习及 AutoML；采用随机、骨架和 Perimeter 划分，并研究重采样与集成。,在所测小样本/OOD 场景中，TabPFNv2 常有优势；欠采样集成有助于不均衡问题；数据较充足时 KPGT 在环肽渗透性上表现突出；活性悬崖仍是共同难点。,"**实验设计。** 比较随机、骨架和 Perimeter 划分。每种划分使用 5 个划分种子，每个划分再训练 5 次，共 25 次结果；AutoGluon 每种划分给出 5 次结果。对照涵盖 KPGT、Uni-Mol、GEM、图网络、经典机器学习、TabPFNv2 和 AutoGluon。分类结合 AUROC、召回率、F1 和假阳性率分析；回归使用 R² 等指标。

| 场景 | 具体结果 | 原文位置 |
| --- | --- | --- |
| Tox21 NR ER 类别不均衡 | KPGT 加欠采样集成后，召回率由 0.22 提高到 0.60；假阳性率 0.27 | Fig. 4 |
| 环肽渗透性，6,637 个样本 | KPGT R² 0.627；GNNAK 0.605 | Fig. 5 |
| 活性悬崖分子 | KPGT R² 0.46；XGBoost + MorganCount 0.51 | Fig. 6b |
| 活性悬崖对识别 | MOLMCL 召回率 0.130，KPGT 0.128 | Fig. 6c |",结果说明模型选择需要结合数据量、分布变化和任务类型。活性悬崖实验来自生物活性数据；其中的结论用于分析表示学习能力，不能直接当作 ADMET 端点成绩。,https://link.springer.com/article/10.1186/s13321-026-01217-2,https://github.com/DonghaiZHAO-ZJU/Benchmark-ADMET-2025,作者代码/项目入口已公开,2026-09-22,已核对正文 Methods、Table 1 和 Figs. 4–6 的实验设计与结果
tdc-audit-2026,TDC模型审计,Critical Assessment of ML models for ADMET Prediction in TDC leaderboards,检查 TDC 榜单领先模型能否运行、有无数据泄漏，以及报告的 ADMET 成绩能否复现。,ADMET 与药代动力学,预印本,可复现性; 数据泄漏; 审计,bioRxiv,2026-02-28,Crossref 预印本发布日期；与 DOI 中日期区分,preprint,排行榜领先成绩是否能复现，是否受到预训练泄漏、验证/测试重叠或环境问题影响？,从 TDC 22 任务的领先方法中选出 10 个方法进行审查；具体结论受其榜单快照与代码版本限制。,分阶段检查环境可用性、预训练泄漏、验证/测试重叠和结果复现。,作者报告仅 MapLight、MapLight+GNN 和 CaliciBoost 通过全部检查；其中 CaliciBoost 仅针对 Caco-2，并非覆盖全部 22 任务。,对 10 个领先方法检查运行环境、数据泄漏、验证/测试重叠与结果复现；记录对应的榜单快照及代码版本。,审计将运行环境问题与实验设计问题分开讨论，适合据此制定复现检查流程。当前条目对应预印本中的审计结果。,https://www.biorxiv.org/content/10.64898/2026.02.26.708193v1,https://github.com/receptor-ai/tdc-admet-bench,作者代码/项目入口已公开,2026-09-19,书目、摘要及可访问项目说明
himnet-2026,HimNet,A hierarchical interaction message net for accurate molecular property prediction,让原子、子结构和整个分子之间交换信息，用层级图神经网络预测分子性质及部分 ADMET 指标。,ADMET 与药代动力学,专题补读,层级GNN; 代谢稳定性,Communications Chemistry,2026-02-14,出版社在线发表日期,journal,原子、子结构与分子整体信息之间的交互不充分，单一层级的表示可能遗漏性质相关信息。,11 个数据集：8 个 MoleculeNet 子集及 Malaria、LMC、MetStab；其中 BBBP、Tox21、SIDER、ClinTox、代谢稳定性等与 ADMET 直接相关，其他任务属于更广泛性质/活性评价。,层级消息传递与注意力，结合有向消息路径、跨层信息交互及多种指纹的一致性信息。,在本文实验中，BBBP AUROC 为 0.954±0.020，ESOL RMSE 为 0.710±0.016；代谢稳定性 AUROC 为 0.896±0.008。层级消息传递及融合模块的消融表明，各组件对不同任务的贡献不同。,"**实验设计。** 11 个数据集采用骨架 8:1:1 划分。正文说明生成 3 个独立划分，每个划分进行 10 次不同初始化训练；消融表另说明跨 3 次运行汇总。Adam 训练 100 个 epoch，batch size 64，学习率 0.0001，隐藏维度 512（Table 5）。分类用 AUROC，回归用 RMSE。

| 任务 | HimNet | 对照 | 原文位置 |
| --- | --- | --- | --- |
| BBBP，AUROC ↑ | 0.954±0.020 | FH-GNN 0.949±0.016 | Table 1 |
| ESOL，RMSE ↓ | 0.710±0.016 | FH-GNN 0.904±0.070 | Table 1 |
| MetStab，AUROC ↑ | 0.896±0.008 | FH-GNN 0.876±0.014 | Table 2 |
| LMC 多物种清除率，平均 RMSE ↓ | 111.0±9.8 | HiMol 117.085±10.1 | Table 2 |

Table 1 的 FH-GNN 由作者重新运行，其他基线取自原论文。表中的高低分同时受原始基线实验设置影响。",论文不同段落对重复实验的汇总写法不同，复现时需对照具体表和发布代码。LMC 为人、大鼠、小鼠的多任务清除率数据，其 RMSE 使用该数据集的量纲。,https://www.nature.com/articles/s42004-026-01922-x,https://github.com/Hugh415/HimNet,作者代码及数据公开；MIT 许可，另提供 Zenodo 归档,2026-09-22,已核对正文实验设计、Tables 1–2、5–6 和代码/数据可用性声明
caliciboost-2025,CaliciBoost,CaliciBoost: Performance-driven evaluation of molecular representations for caco-2 permeability prediction,比较分子指纹和理化描述符，结合自动机器学习预测分子通过肠道细胞模型（Caco-2）的能力。,ADMET 与药代动力学,核心论文,吸收; Caco-2; AutoML,Journal of Cheminformatics,2025-12-22,出版社在线发表日期,journal,Caco-2 渗透性数据少、实验条件不一致，不清楚哪些分子特征与建模策略最有效。,"TDC Caco2_Wang，906 个分子；另整理 OCHEM 数据，由 9,402 条原始记录经筛选清洗形成 5,481 条建模数据。两套数据分别建模评价。",比较 8 类分子表示，用 AutoGluon 筛选模型，再进行特征筛选和超参数优化；最终提交的 CaliciBoost 是使用精选 PaDEL 描述符的 XGBoost 回归器。,TDC 五次运行的 MAE 为 0.2560±0.006。论文单次特征比较中，PaDEL 筛选与优化后的 MAE 为 0.2525，优于全部 PaDEL 特征的 0.3058。,"**实验设计。** TDC Caco2_Wang 共 906 个分子，采用官方骨架划分，保留 20% 测试集；最终榜单结果按 5 个种子报告。OCHEM 的 5,481 条数据另按结构聚类和渗透性分箱划分、独立建模。比较 Morgan、Avalon、ErG、MACCS、RDKit、PaDEL、Mordred 和 CDDD；主要指标为 MAE。

| 实验 | MAE ↓ | 说明 |
| --- | --- | --- |
| 全部 PaDEL 特征 | 0.3058 | 论文特征比较，Supplementary Table 1 |
| 筛选 PaDEL 特征并优化模型 | 0.2525 | 单次实验；RMSE 0.3216、R² 0.7805，Fig. 6 |
| CaliciBoost 官方基准 | 0.2560±0.006 | 5 个种子的均值±标准差，Figs. 10–11 |

**结果解读。** 0.2525 与 0.2560±0.006 对应不同统计口径。TDC 与 OCHEM 分别训练和测试，OCHEM 实验并非将 TDC 训练好的模型直接迁移到外部集。",特征筛选与模型优化共同产生了改进，不能将全部增益归于某一种描述符。OCHEM 部分记录缺少测定方向，实验条件的一致性仍影响标签质量。,https://link.springer.com/article/10.1186/s13321-025-01137-7,https://github.com/Calici/CaliciBoost,作者代码/项目入口已公开,2026-09-22,已核对数据处理、划分、模型选择及 Figs. 6、10–11 对应结果
pksmart-2025,PKSmart,PKSmart: an open-source computational model to predict intravenous pharmacokinetics of small molecules,先预测动物体内的药代参数，再结合分子结构预测人体静脉给药后的清除率、分布容积和半衰期等指标。,ADMET 与药代动力学,核心论文,人体PK; 跨物种; 外部验证,Journal of Cheminformatics,2025-09-26,出版社在线发表日期,journal,人体 PK 数据稀缺，单纯从结构学习困难；如何利用临床前物种信息提高人体参数预测？,"人体静脉 PK：1,283 个化合物，VDss/CL/半衰期/游离分数/MRT 分别有 1,249/1,281/1,265/879/1,243 个标签；动物数据 371 个化合物。独立外部集共 315 个化合物，四个可评估端点分别有 51/302/38/34 个标签。",两阶段建模：先由分子特征预测大鼠、犬和猴的相关 PK 参数，再将预测出的动物参数与分子特征结合，建立人体随机森林模型；使用重复嵌套交叉验证和外部验证。,外部集 VDss 和清除率的 R² 分别为 0.39、0.46，预测在两倍误差内的比例为 52.94%、70.20%；半衰期外部 R² 为 0.06，显示各 PK 端点的可预测性有明显差异。,"**实验设计。** 五折外层验证重复 5 次，共 25 个测试折；内层四折网格搜索调参。外部集经标准化 SMILES 排除与训练集的重合。对照包括仅用分子特征、仅用预测动物 PK，以及二者融合的模型。除游离分数外，PK 标签进行 log10 变换。

| 外部端点 | 样本数 | R² ↑ | RMSE ↓ | 两倍误差内比例 ↑ |
| --- | --- | --- | --- | --- |
| VDss | 51 | 0.39 | 0.56 | 52.94% |
| 清除率 | 302 | 0.46 | 0.44 | 70.20% |
| 半衰期 | 38 | 0.06 | 0.68 | 31.58% |
| 血浆游离分数 | 34 | 0.26 | 0.22 | 26.47% |

来源：Table 2。前三项 RMSE 对应 log10 标签，游离分数使用原始比例；两倍误差按原始量纲计算。MRT 没有独立外部测试数据。",外部集各端点样本数差别较大，应逐项判断效果。与 AstraZeneca 的比较主要考察两套模型预测值的相关性；它与针对实验标签计算的外部 R² 是两种不同证据。,https://link.springer.com/article/10.1186/s13321-025-01066-5,https://github.com/srijitseal/PKSmart,作者代码/项目入口已公开,2026-09-22,已核对数据整理、嵌套验证、外部集构成及 Table 2
